#,Player,2021Salary
1,Stephen Curry ,"43,006,362"
2,Chris Paul ,"41,358,814"
2,Russell Westbrook ,"41,358,814"
4,James Harden ,"41,254,920"
4,John Wall ,"41,254,920"
6,LeBron James ,"39,219,566"
7,Kevin Durant ,"39,058,950"
8,Paul George ,"35,450,412"
9,Klay Thompson ,"35,361,360"
10,Mike Conley ,"34,502,132"
11,Kemba Walker ,"34,379,100"
11,Kawhi Leonard ,"34,379,100"
11,Jimmy Butler ,"34,379,100"
14,Tobias Harris ,"34,358,850"
15,Blake Griffin ,"33,900,241"
16,Kyrie Irving ,"33,460,350"
17,Khris Middleton ,"33,051,724"
18,Anthony Davis ,"32,742,000"
19,Damian Lillard ,"31,626,953"
20,Kevin Love ,"31,258,256"
21,Ben Simmons ,"30,559,200"
21,Pascal Siakam ,"30,559,200"
23,Kyle Lowry ,"30,500,000"
24,Steven Adams ,"29,592,695"
25,Nikola Jokic ,"29,542,010"
25,Andrew Wiggins ,"29,542,010"
25,Joel Embiid ,"29,542,010"
28,Kristaps Porzingis ,"29,467,800"
28,Karl-Anthony Towns ,"29,467,800"
28,Devin Booker ,"29,467,800"
31,CJ McCollum ,"29,354,152"
32,Bradley Beal ,"28,751,774"
32,Andre Drummond ,"28,751,774"
34,D'Angelo Russell ,"28,649,250"
35,Gordon Hayward ,"28,500,000"
36,Otto Porter ,"28,489,239"
37,DeMar DeRozan ,"27,739,975"
38,Giannis Antetokounmpo ,"27,528,088"
39,Al Horford ,"27,500,000"
40,Jamal Murray ,"27,285,000"
40,Brandon Ingram ,"27,285,000"
42,Rudy Gobert ,"26,775,281"
43,Nikola Vucevic ,"26,000,000"
44,Jrue Holiday ,"25,876,111"
45,Jaylen Brown ,"25,035,118"
46,Buddy Hield ,"24,931,817"
47,Draymond Green ,"22,246,956"
48,Harrison Barnes ,"22,215,909"
49,Fred VanVleet ,"21,250,000"
50,Victor Oladipo ,"21,000,000"
51,Malcolm Brogdon ,"20,700,000"
52,Julius Randle ,"19,845,000"
53,Domantas Sabonis ,"19,800,000"
54,Gary Harris ,"19,610,714"
