Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,49,2,12.3,2.1,3.8,0.559,0,0,,2.1,3.8,0.559,0.559,1,2,0.505,1.3,2.3,3.6,0.5,0.3,0.5,0.8,1.6,5.3
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,,0,0.4,0.4,0.3,0,0,0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,47,47,27.9,3.4,5.6,0.618,0,0.1,0,3.4,5.5,0.625,0.618,1,2.4,0.441,4,4.9,8.9,1.9,0.9,0.6,1.5,2,7.9
4,Bam Adebayo\adebaba01,C,23,MIA,46,46,33.5,7.2,12.8,0.563,0,0.2,0.25,7.2,12.7,0.567,0.564,4.6,5.6,0.819,2.4,7.2,9.5,5.4,0.9,1.2,2.6,2.3,19.1
5,LaMarcus Aldridge\aldrila01,C,35,TOT,25,22,26.1,5.4,11.5,0.469,1.2,3.2,0.388,4.2,8.3,0.5,0.523,1.6,1.8,0.867,0.7,3.9,4.6,1.9,0.4,1,1,1.8,13.6
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1,1.7,13.7
5,LaMarcus Aldridge\aldrila01,F-C,35,BRK,4,4,27,5,10,0.5,1,1.3,0.8,4,8.8,0.457,0.55,2,2,1,0.3,5,5.3,2.8,0.8,2,1.3,2,13
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,6,0,2.7,0.2,1,0.167,0.2,0.7,0.25,0,0.3,0,0.25,0.2,0.3,0.5,0,0.3,0.3,0.2,0,0,0,0.2,0.7
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,0.418,1.6,4.6,0.348,2.3,4.7,0.487,0.504,1,1.3,0.75,0.2,2.8,3.1,2,1,0.5,1.4,1.9,10.2
8,Grayson Allen\allengr01,SG,25,MEM,36,24,24.4,3.5,8.1,0.428,2.2,5.4,0.402,1.3,2.7,0.48,0.562,1.5,1.7,0.902,0.4,2.8,3.3,2.1,1,0.2,0.9,1.3,10.6
