#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Stephen Curry,56,34,31.3,10.2,21,48.6,5.2,12.2,42.6,5.6,6.2,91.6,0.4,5.1,5.5,5.8,1.2,0.1,3.4,29.2
2,Bradley Beal,56,35.5,30.9,11,22.8,48.4,2.1,6.2,34.5,6.7,7.5,89.8,1.2,3.5,4.7,4.5,1.2,0.4,3.2,25.9
3,Luka Doncic,58,35.2,28.6,10.2,20.9,48.6,2.9,8.3,35.3,5.3,7.3,72.8,0.8,7.2,8,8.9,1,0.6,4.3,30
4,Giannis Antetokounmpo,54,33.1,28.4,10.3,18.1,56.8,1.1,3.6,31.3,6.6,9.7,68.2,1.6,9.5,11.1,5.9,1.2,1.3,3.5,33.4
5,Damian Lillard,59,35.9,28.3,8.8,20.1,43.6,4,10.7,37.8,6.7,7.2,92.7,0.5,3.8,4.3,7.6,0.9,0.3,3.1,26.3
6,Zach LaVine,53,35.2,27.5,9.8,19.4,50.6,3.4,8.2,41.6,4.4,5.2,84.8,0.6,4.5,5.1,5.1,0.8,0.5,3.6,25
7,Zion Williamson,59,33.1,27,10.4,16.9,61.6,0.2,0.5,31.3,6,8.6,69.4,2.7,4.5,7.1,3.7,0.9,0.6,2.7,27.6
8,Kyrie Irving,48,35.2,26.8,10.1,20.3,49.9,2.6,6.9,38.1,3.9,4.2,92.5,1.1,3.9,5,6.3,1.3,0.6,2.5,27
9,Jayson Tatum,58,35.9,26.5,9.5,20.6,45.9,2.9,7.5,39.3,4.6,5.3,87.3,0.8,6.6,7.4,4.4,1.1,0.4,2.7,25.3
10,Donovan Mitchell,53,33.4,26.4,9,20.6,43.8,3.4,8.7,38.6,5,6,84.5,0.9,3.5,4.4,5.2,1,0.3,2.8,22.1
11,Nikola Jokic,64,35,26.2,10.2,18,56.8,1.4,3.4,41.2,4.4,5.1,86,2.8,8.1,10.9,8.5,1.4,0.7,3.1,36.1
12,Devin Booker,60,33.8,25.6,9.4,19.3,48.7,1.9,5.6,34.4,4.9,5.7,85.8,0.5,3.7,4.1,4.4,0.9,0.3,3.2,21.4
13,Trae Young,56,34.2,25.5,7.7,17.8,43.4,2.3,6.4,35.9,7.8,8.9,87.8,0.6,3.2,3.9,9.4,0.9,0.2,4.2,24.5
14,Kawhi Leonard,47,34.3,25.5,9.3,18,51.7,2,4.9,39.7,4.9,5.6,87.8,1.1,5.5,6.6,5.1,1.6,0.4,2,28
15,De'Aaron Fox,58,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,0.6,2.9,3.5,7.2,1.5,0.5,3,22.8
16,Jaylen Brown,58,34.5,24.7,9.3,19.2,48.4,2.8,7.1,39.7,3.3,4.3,76.4,1.2,4.8,6,3.4,1.2,0.6,2.7,22.2
17,Collin Sexton,52,35.7,24.4,8.9,18.5,48.3,1.7,4.5,37.8,4.9,6,81.4,1,2.2,3.1,4.1,1.1,0.2,2.7,19.6
18,Julius Randle,63,37.4,24.2,8.5,18.4,46.4,2.3,5.4,42.2,4.8,6,80.9,1.3,9.1,10.3,5.9,1,0.3,3.4,27.2
19,Brandon Ingram,59,34.4,24,8.5,18.2,46.8,2.4,6.2,38,4.6,5.3,87.5,0.6,4.4,5,4.9,0.7,0.6,2.6,22.2
20,Nikola Vucevic,64,33.6,23.8,9.6,19.9,48.4,2.6,6.2,41.1,2,2.4,83.6,2,9.5,11.5,3.7,1,0.7,1.8,28.2
21,Paul George,49,33.6,23.7,8.3,17.8,47,3.2,7.6,42.1,3.8,4.3,87.2,0.9,5.7,6.6,5.2,1.2,0.4,3.3,23.9
